oblast,raion,hromada,level,started_at,finished_at,source
Lvivska oblast,,,oblast,2022-07-29 06:26:14+00:00,2022-07-29 07:44:23+00:00,official
Lvivska oblast,,,oblast,2022-07-30 06:28:33+00:00,2022-07-30 06:51:54+00:00,official
Lvivska oblast,,,oblast,2022-07-31 19:46:11+00:00,2022-07-31 20:08:07+00:00,official
Lvivska oblast,,,oblast,2022-08-02 14:13:59+00:00,2022-08-02 15:32:58+00:00,official
Lvivska oblast,,,oblast,2022-08-04 22:52:14+00:00,2022-08-04 23:13:22+00:00,official
Lvivska oblast,,,oblast,2022-08-07 17:06:00+00:00,2022-08-07 18:41:41+00:00,official
Lvivska oblast,,,oblast,2022-08-08 07:17:27+00:00,2022-08-08 07:46:32+00:00,official
Lvivska oblast,,,oblast,2022-08-11 10:33:41+00:00,2022-08-11 11:30:35+00:00,official
Lvivska oblast,,,oblast,2022-08-11 16:15:21+00:00,2022-08-11 16:32:35+00:00,official
Lvivska oblast,,,oblast,2022-08-11 18:20:00+00:00,2022-08-11 18:49:15+00:00,official
Lvivska oblast,,,oblast,2022-08-13 05:06:28+00:00,2022-08-13 05:23:08+00:00,official
Lvivska oblast,,,oblast,2022-08-15 20:33:32+00:00,2022-08-15 21:27:49+00:00,official
Lvivska oblast,,,oblast,2022-08-16 11:04:57+00:00,2022-08-16 11:37:03+00:00,official
Lvivska oblast,,,oblast,2022-08-18 20:51:44+00:00,2022-08-18 21:10:09+00:00,official
Lvivska oblast,,,oblast,2022-08-19 22:51:25+00:00,2022-08-19 23:19:00+00:00,official
Lvivska oblast,,,oblast,2022-08-20 08:31:42+00:00,2022-08-20 09:17:42+00:00,official
Lvivska oblast,,,oblast,2022-08-20 11:39:22+00:00,2022-08-20 12:12:21+00:00,official
Lvivska oblast,,,oblast,2022-08-21 00:33:27+00:00,2022-08-21 01:04:05+00:00,official
Lvivska oblast,,,oblast,2022-08-22 12:45:59+00:00,2022-08-22 13:06:11+00:00,official
Lvivska oblast,,,oblast,2022-08-23 16:29:54+00:00,2022-08-23 16:48:33+00:00,official
Lvivska oblast,,,oblast,2022-08-24 03:54:28+00:00,2022-08-24 04:33:40+00:00,official
